"","symbol","date","PX_LAST"
"1","BRLUSD Index",2014-01-02,0.4176
"2","BRLUSD Index",2014-01-03,0.4199
"3","BRLUSD Index",2014-01-06,0.4206
"4","BRLUSD Index",2014-01-07,0.4216
"5","BRLUSD Index",2014-01-08,0.418
"6","BRLUSD Index",2014-01-09,0.4183
"7","BRLUSD Index",2014-01-10,0.4223
"8","BRLUSD Index",2014-01-13,0.4243
"9","BRLUSD Index",2014-01-14,0.4249
"10","BRLUSD Index",2014-01-15,0.4245
"11","BRLUSD Index",2014-01-16,0.423
"12","BRLUSD Index",2014-01-17,0.4257
"13","BRLUSD Index",2014-01-20,0.4261
"14","BRLUSD Index",2014-01-21,0.4232
"15","BRLUSD Index",2014-01-22,0.4214
"16","BRLUSD Index",2014-01-23,0.4174
"17","BRLUSD Index",2014-01-24,0.4167
"18","BRLUSD Index",2014-01-27,0.4131
"19","BRLUSD Index",2014-01-28,0.4122
"20","BRLUSD Index",2014-01-29,0.4106
"21","BRLUSD Index",2014-01-30,0.415
"22","BRLUSD Index",2014-01-31,0.4143
"23","BRLUSD Index",2014-02-03,0.4108
"24","BRLUSD Index",2014-02-04,0.4158
"25","BRLUSD Index",2014-02-05,0.4169
"26","BRLUSD Index",2014-02-06,0.4192
"27","BRLUSD Index",2014-02-07,0.42
"28","BRLUSD Index",2014-02-10,0.4148
"29","BRLUSD Index",2014-02-11,0.4165
"30","BRLUSD Index",2014-02-12,0.4128
"31","BRLUSD Index",2014-02-13,0.4159
"32","BRLUSD Index",2014-02-14,0.419
"33","BRLUSD Index",2014-02-17,0.4183
"34","BRLUSD Index",2014-02-18,0.4174
"35","BRLUSD Index",2014-02-19,0.4178
"36","BRLUSD Index",2014-02-20,0.4219
"37","BRLUSD Index",2014-02-21,0.4262
"38","BRLUSD Index",2014-02-24,0.427
"39","BRLUSD Index",2014-02-25,0.427
"40","BRLUSD Index",2014-02-26,0.4255
"41","BRLUSD Index",2014-02-27,0.4286
"42","BRLUSD Index",2014-02-28,0.427
"43","BRLUSD Index",2014-03-05,0.4314
"44","BRLUSD Index",2014-03-06,0.4304
"45","BRLUSD Index",2014-03-07,0.4273
"46","BRLUSD Index",2014-03-10,0.4252
"47","BRLUSD Index",2014-03-11,0.423
"48","BRLUSD Index",2014-03-12,0.4242
"49","BRLUSD Index",2014-03-13,0.4227
"50","BRLUSD Index",2014-03-14,0.4255
"51","BRLUSD Index",2014-03-17,0.4257
"52","BRLUSD Index",2014-03-18,0.4274
"53","BRLUSD Index",2014-03-19,0.4259
"54","BRLUSD Index",2014-03-20,0.4298
