"Data","IVIUK.Index","UKX.Index","VCAC.Index","CAC.Index","V1X.Index","DAX.Index","VIX.Index","SPX.Index","ivolbr","Ibov"
2010-01-04,"19.73","5500.34","21.178000000000001","4013.97","22.43","6048.3","20.04","1132.98",NA,NA
2010-01-05,"19.63","5522.5","20.74","4012.91","21.96","6031.86","19.350000000000001","1136.52",NA,NA
2010-01-06,"19.440000000000001","5530.04","20.568000000000001","4017.67","21.63","6034.33","19.16","1137.1400000000001",NA,NA
2010-01-07,"18.18","5526.72","19.634","4024.8","21.72","6019.36","19.059999999999999","1141.7",NA,NA
2010-01-08,"16.93","5534.24","16.393000000000001","4045.14","20.87","6037.61","18.13","1144.98",NA,NA
2010-01-11,"17.84","5538.07","19.146999999999998","4043.09","21.56","6040.5","17.55","1146.98",NA,NA
2010-01-12,"18.510000000000002","5498.71","20.062000000000001","4000.05","21.99","5943","18.25","1136.22",NA,NA
2010-01-13,"18.690000000000001","5473.48","19.745000000000001","4000.86","21.77","5963.14","17.850000000000001","1145.68",NA,NA
2010-01-14,"17.739999999999998","5498.2","18.736999999999998","4015.77","19.559999999999999","5988.88","17.63","1148.46",NA,NA
2010-01-15,"18.5","5455.37","19.29","3954.38","21.07","5875.97","17.91","1136.03",NA,NA
2010-01-18,"17.73","5494.39","19.149999999999999","3977.46","20.260000000000002","5918.55",NA,NA,NA,NA
2010-01-19,"18.2","5513.14","18.786999999999999","4009.67","19.8","5976.48","17.579999999999998","1150.23",NA,NA
2010-01-20,"19.489999999999998","5420.8","20.847000000000001","3928.95","21.98","5851.53","18.68","1138.04",NA,NA
2010-01-21,"22.46","5335.1","22.762","3862.16","24.2","5746.97","22.27","1116.48",NA,NA
2010-01-22,"22.52","5302.99","22.986000000000001","3820.78","24.89","5695.32","27.31","1091.76",NA,NA
2010-01-25,"23.4","5260.31","24.263999999999999","3781.85","25.9","5631.37","25.41","1096.79",NA,NA
2010-01-26,"22.37","5276.85","23.041","3807.04","24.54","5668.93","24.55","1092.17",NA,NA
2010-01-27,"23.41","5217.47","24.411999999999999","3759.8","25.56","5643.2","23.14","1097.5",NA,NA
2010-01-28,"24.36","5145.74","24.992000000000001","3688.79","26.36","5540.33","23.73","1084.53",NA,NA
2010-01-29,"23.03","5188.5200000000004","23.997","3739.46","25.23","5608.79","24.62","1073.8699999999999",NA,NA
2010-02-01,"31.66","5247.41","24.141999999999999","3762.01","24.92","5654.48","22.59","1089.19",NA,NA
2010-02-02,"29.72","5283.31","22.925000000000001","3812.13","23.6","5709.66","21.48","1103.32",NA,NA
2010-02-03,"29.68","5253.15","22.986999999999998","3793.47","23.67","5672.09","21.6","1097.28",NA,NA
2010-02-04,"33.19","5139.3100000000004","25.968","3689.25","26.22","5533.24","26.08","1063.1099999999999",NA,NA
2010-02-05,"35.07","5060.92","28.259","3563.76","27.19","5434.34","26.11","1066.19",NA,NA
2010-02-08,"34.92","5092.33","27.03","3607.27","26.8","5484.85","26.51","1056.74",NA,NA
2010-02-09,"24.73","5111.84","26.844000000000001","3612.76","26.35","5498.26","26","1070.52",NA,NA
2010-02-10,"23.88","5131.99","26.844999999999999","3635.61","25.9","5536.37","25.4","1068.1400000000001",NA,NA
2010-02-11,"24.31","5161.4799999999996","27.631","3616.75","25.85","5503.93","23.96","1078.47",NA,NA
2010-02-12,"23.97","5142.45","27.832999999999998","3599.07","24.96","5500.39","22.73","1075.51",NA,NA
2010-02-15,"23.71","5167.47","26.327000000000002","3609.22","25.11","5511.1",NA,NA,NA,NA
2010-02-16,"21.91","5244.06","24.37","3669.04","23.9","5592.12","22.25","1094.8699999999999",NA,NA
2010-02-17,"20.83","5276.64","23.111999999999998","3725.21","22.85","5648.34","21.72","1099.51",NA,NA
2010-02-18,"19.899999999999999","5325.09","22.338999999999999","3747.83","22.23","5680.41","20.63","1106.75",NA,NA
2010-02-19,"26.91","5358.17","21.5","3769.54","21.52","5722.05","20.02","1109.17",NA,NA
2010-02-22,"27.87","5352.07","21.28","3756.7","21.6","5688.44","19.940000000000001","1108.02",NA,NA
2010-02-23,"20.29","5315.09","22.477","3707.06","22.88","5604.07","21.37","1094.5999999999999",NA,NA
2010-02-24,"19.34","5342.92","21.798999999999999","3715.68","22.65","5615.51","20.27","1105.24",NA,NA
2010-02-25,"20.059999999999999","5278.22","22.4","3640.77","23.22","5532.33","20.100000000000001","1102.94",NA,NA
2010-02-26,"18.46","5354.52","20.992000000000001","3708.8","21.72","5598.46","19.5","1104.49",NA,NA
2010-03-01,"18.329999999999998","5405.94","20.981000000000002","3769.54","21.19","5713.51","19.260000000000002","1115.71",NA,NA
2010-03-02,"17.510000000000002","5484.06","19.829999999999998","3811.92","20.309999999999999","5776.56","19.059999999999999","1118.31",NA,NA
2010-03-03,"17.55","5533.21","19.39","3842.52","19.84","5817.88","18.829999999999998","1118.79",NA,NA
2010-03-04,"18.079999999999998","5527.16","19.677","3828.41","20.190000000000001","5795.32","18.72","1122.97",NA,NA
2010-03-05,"17.989999999999998","5599.76","18.183","3910.42","18.91","5877.36","17.420000000000002","1138.7",NA,NA
2010-03-08,"18.28","5606.72","19.292000000000002","3903.54","19.559999999999999","5875.91","17.79","1138.51",NA,NA
2010-03-09,"18.16","5602.3","18.844000000000001","3910.01","19.010000000000002","5885.89","17.920000000000002","1140.45",NA,NA
2010-03-10,"17.63","5640.57","18.683","3943.55","18.45","5936.72","18.57","1145.6099999999999",NA,NA
2010-03-11,"16.98","5617.26","18.611999999999998","3928.95","18.420000000000002","5928.63","18.059999999999999","1150.24",NA,NA
2010-03-12,"16.649999999999999","5625.65","18.564","3927.4","18.41","5945.11","17.579999999999998","1149.99",NA,NA
2010-03-15,"17.940000000000001","5593.85","19.548999999999999","3890.91","19.41","5903.56","18","1150.51",NA,NA
2010-03-16,"17.3","5620.43","18.641999999999999","3938.95","18.75","5970.99","17.690000000000001","1159.46",NA,NA
2010-03-17,"16.72","5644.63","18.298999999999999","3957.89","18.329999999999998","6024.28","16.91","1166.21",NA,NA
2010-03-18,"15.84","5642.62","18.201000000000001","3938.18","18.78","6012.31","16.62","1165.83",NA,NA
